episode,step,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,score,reward
1000,1,0.06,-4.99999999805,4.99999998149,99.9920876988,6.28312832706,6.28317984665,6.28317963352,1.96153790404e-07,-1.95366849366e-06,-0.263763518039,-0.00292004450699,-0.000273650579081,-0.000284356903765,299.954130795,300.245181622,300.114749366,300.051419269,-1.70107528853,-1.70107528853
1000,1,0.06,-4.99999999805,4.99999998149,99.9920876988,6.28312832706,6.28317984665,6.28317963352,1.96153790404e-07,-1.95366849366e-06,-0.263763518039,-0.00292004450699,-0.000273650579081,-0.000284356903765,299.954130795,300.245181622,300.114749366,300.051419269,-1.70107528853,-1.70107528853
1000,1,0.06,-4.99999999805,4.99999998149,99.9920876988,6.28312832706,6.28317984665,6.28317963352,1.96153790404e-07,-1.95366849366e-06,-0.263763518039,-0.00292004450699,-0.000273650579081,-0.000284356903765,299.954130795,300.245181622,300.114749366,300.051419269,-1.70107528853,-1.70107528853
1000,1,0.06,-4.99999999805,4.99999998149,99.9920876988,6.28312832706,6.28317984665,6.28317963352,1.96153790404e-07,-1.95366849366e-06,-0.263763518039,-0.00292004450699,-0.000273650579081,-0.000284356903765,299.954130795,300.245181622,300.114749366,300.051419269,-1.70107528853,-1.70107528853
1000,1,0.06,-4.99999999805,4.99999998149,99.9920876988,6.28312832706,6.28317984665,6.28317963352,1.96153790404e-07,-1.95366849366e-06,-0.263763518039,-0.00292004450699,-0.000273650579081,-0.000284356903765,299.954130795,300.245181622,300.114749366,300.051419269,-1.70107528853,-1.70107528853
1000,1,0.06,-4.99999999805,4.99999998149,99.9920876988,6.28312832706,6.28317984665,6.28317963352,1.96153790404e-07,-1.95366849366e-06,-0.263763518039,-0.00292004450699,-0.000273650579081,-0.000284356903765,299.954130795,300.245181622,300.114749366,300.051419269,-1.70107528853,-1.70107528853
1000,1,0.06,-4.99999999805,4.99999998149,99.9920876988,6.28312832706,6.28317984665,6.28317963352,1.96153790404e-07,-1.95366849366e-06,-0.263763518039,-0.00292004450699,-0.000273650579081,-0.000284356903765,299.954130795,300.245181622,300.114749366,300.051419269,-1.70107528853,-1.70107528853
1000,1,0.06,-4.99999999805,4.99999998149,99.9920876988,6.28312832706,6.28317984665,6.28317963352,1.96153790404e-07,-1.95366849366e-06,-0.263763518039,-0.00292004450699,-0.000273650579081,-0.000284356903765,299.954130795,300.245181622,300.114749366,300.051419269,-1.70107528853,-1.70107528853
1000,1,0.06,-4.99999999805,4.99999998149,99.9920876988,6.28312832706,6.28317984665,6.28317963352,1.96153790404e-07,-1.95366849366e-06,-0.263763518039,-0.00292004450699,-0.000273650579081,-0.000284356903765,299.954130795,300.245181622,300.114749366,300.051419269,-1.70107528853,-1.70107528853
1000,1,0.06,-4.99999999805,4.99999998149,99.9920876988,6.28312832706,6.28317984665,6.28317963352,1.96153790404e-07,-1.95366849366e-06,-0.263763518039,-0.00292004450699,-0.000273650579081,-0.000284356903765,299.954130795,300.245181622,300.114749366,300.051419269,-1.70107528853,-1.70107528853
